date,total_carjackings,rollavg
January 2015,26,
February 2015,11,
March 2015,29,
April 2015,23,
May 2015,19,
June 2015,17,20.833333333333332
July 2015,37,22.666666666666668
August 2015,32,26.166666666666668
September 2015,32,26.666666666666668
October 2015,32,28.166666666666668
November 2015,33,30.5
December 2015,49,35.833333333333336
January 2016,51,38.166666666666664
February 2016,36,38.833333333333336
March 2016,41,40.333333333333336
April 2016,34,40.666666666666664
May 2016,47,43.0
June 2016,39,41.333333333333336
July 2016,54,41.833333333333336
August 2016,79,49.0
September 2016,48,50.166666666666664
October 2016,57,54.0
November 2016,77,59.0
December 2016,100,69.16666666666667
January 2017,75,72.66666666666667
February 2017,56,68.83333333333333
March 2017,58,70.5
April 2017,64,71.66666666666667
May 2017,63,69.33333333333333
June 2017,74,65.0
July 2017,75,65.0
August 2017,86,70.0
September 2017,76,73.0
October 2017,83,76.16666666666667
November 2017,111,84.16666666666667
December 2017,116,91.16666666666667
January 2018,86,93.0
February 2018,51,87.16666666666667
March 2018,60,84.5
April 2018,49,78.83333333333333
May 2018,49,68.5
June 2018,58,58.833333333333336
July 2018,72,56.5
August 2018,65,58.833333333333336
September 2018,58,58.5
October 2018,67,61.5
November 2018,67,64.5
December 2018,82,68.5
January 2019,49,64.66666666666667
February 2019,30,58.833333333333336
March 2019,31,54.333333333333336
April 2019,45,50.666666666666664
May 2019,49,47.666666666666664
June 2019,47,41.833333333333336
July 2019,53,42.5
August 2019,45,45.0
September 2019,73,52.0
October 2019,60,54.5
November 2019,52,55.0
December 2019,69,58.666666666666664
January 2020,74,62.166666666666664
February 2020,67,65.83333333333333
March 2020,57,63.166666666666664
April 2020,64,63.833333333333336
May 2020,96,71.16666666666667
June 2020,114,78.66666666666667
July 2020,149,91.16666666666667
August 2020,163,107.16666666666667
September 2020,117,117.16666666666667
October 2020,156,132.5
November 2020,207,151.0
December 2020,149,156.83333333333334
January 2021,217,168.16666666666666
February 2021,125,161.83333333333334
March 2021,81,155.83333333333334
April 2021,100,146.5
May 2021,108,130.0
June 2021,129,126.66666666666667
July 2021,150,115.5
August 2021,159,121.16666666666667
September 2021,178,137.33333333333334
October 2021,194,153.0
November 2021,202,168.66666666666666
December 2021,206,181.5
January 2022,162,183.5
February 2022,140,180.33333333333334
March 2022,133,172.83333333333334
April 2022,115,159.66666666666666
May 2022,113,144.83333333333334
June 2022,143,134.33333333333334
July 2022,163,134.5
August 2022,162,138.16666666666666
September 2022,144,140.0
October 2022,123,141.33333333333334
November 2022 (through 11-13),42,129.5

