month,2015,2016,2017,2018,2019,2020,2021,2022
January,26.0,51.0,75.0,86.0,49.0,74.0,217.0,161.0
February,11.0,36.0,56.0,51.0,30.0,67.0,125.0,141.0
March,29.0,41.0,58.0,60.0,31.0,57.0,81.0,133.0
April,23.0,34.0,64.0,49.0,45.0,64.0,100.0,116.0
May,19.0,47.0,63.0,49.0,49.0,96.0,108.0,93.0
June,17.0,39.0,74.0,58.0,47.0,114.0,130.0,
July,37.0,54.0,75.0,72.0,53.0,149.0,150.0,
August,32.0,79.0,86.0,65.0,45.0,163.0,160.0,
September,32.0,48.0,76.0,58.0,73.0,117.0,178.0,
October,32.0,57.0,83.0,67.0,60.0,156.0,194.0,
November,33.0,77.0,111.0,67.0,52.0,207.0,202.0,
December,49.0,100.0,116.0,82.0,69.0,149.0,205.0,

